[0.929, 0.937, 0.932, 0.927, 0.94]
[0.914, 0.917, 0.901, 0.911, 0.904]
[0.949, 0.943, 0.938, 0.94, 0.94]
[0.955, 0.96, 0.959, 0.955, 0.954]
[0.917, 0.91, 0.918, 0.915, 0.9]
[0.934, 0.933, 0.935, 0.935, 0.932]
[0.977, 0.964, 0.955, 0.954, 0.951]
[0.951, 0.947, 0.96, 0.964, 0.936]
[0.874, 0.896, 0.892, 0.884, 0.889]
[0.898, 0.89, 0.894, 0.901, 0.91]
[0.949, 0.964, 0.958, 0.96, 0.962]
[0.959, 0.955, 0.969, 0.961, 0.94]
[0.958, 0.947, 0.973, 0.957, 0.957]
[0.967, 0.969, 0.956, 0.966, 0.956]
[0.943, 0.955, 0.963, 0.952, 0.96]
[0.961, 0.962, 0.956, 0.954, 0.953]
[0.964, 0.963, 0.962, 0.951, 0.95]
[0.954, 0.971, 0.966, 0.952, 0.97]
[0.95, 0.957, 0.962, 0.963, 0.96]
[0.953, 0.964, 0.961, 0.961, 0.96]
